,market,time,price_open,price_close,price_high,price_low,vwap,volume,candle_usd_volume,candle_trades_count,exchange,asset,base_pair
0,binance.us-btc-usd-spot,2023-02-25 00:00:00+00:00,23189.27,23162.84,23223.77,22766.0,23024.21970181999,3786.94903,87191546.4663141,86620,binance.us,btc,usd
1,binance.us-btc-usd-spot,2023-02-26 00:00:00+00:00,23164.46,23556.99,23684.52,23067.32,23341.87310945956,4239.979829,98969071.15518606,92060,binance.us,btc,usd
2,binance.us-btc-usd-spot,2023-02-27 00:00:00+00:00,23556.98,23488.76,23896.6,23111.9,23475.21083658421,6833.694192,160422411.94994098,135748,binance.us,btc,usd
3,binance.us-btc-usd-spot,2023-02-28 00:00:00+00:00,23489.87,23142.54,23599.63,23031.27,23365.28545030236,4289.055323,100215001.93403377,108384,binance.us,btc,usd
4,binance.us-btc-usd-spot,2023-03-01 00:00:00+00:00,23144.78,23629.97,23994.59,23015.1,23602.05044523807,6638.335166,156678321.4603299,160189,binance.us,btc,usd
5,binance.us-btc-usd-spot,2023-03-02 00:00:00+00:00,23635.29,23466.77,23793.18,23197.84,23420.33255059349,5545.441187,129876076.73929793,122608,binance.us,btc,usd
6,binance.us-btc-usd-spot,2023-03-03 00:00:00+00:00,23466.77,22358.38,23480.01,22001.0,22393.25712541023,7445.374684,166726189.69383192,152711,binance.us,btc,usd
7,binance.us-btc-usd-spot,2023-03-04 00:00:00+00:00,22359.24,22347.86,22409.51,22159.79,22313.84546122567,2181.66967,48681439.8638232,52989,binance.us,btc,usd
8,binance.us-btc-usd-spot,2023-03-05 00:00:00+00:00,22345.62,22431.13,22653.31,22201.36,22436.90302301377,3743.74854,83998122.93452941,74072,binance.us,btc,usd
9,binance.us-btc-usd-spot,2023-03-06 00:00:00+00:00,22431.13,22403.96,22603.25,22267.58,22424.37759193113,3814.48002,85537340.28535701,67047,binance.us,btc,usd
10,binance.us-btc-usd-spot,2023-03-07 00:00:00+00:00,22404.85,22199.06,22554.0,21936.13,22237.92026035473,6728.69819,149632253.80521315,101489,binance.us,btc,usd
11,binance.us-btc-usd-spot,2023-03-08 00:00:00+00:00,22196.56,21701.27,22282.38,21583.43,22022.62556241415,6376.112523,140418738.6378488,110413,binance.us,btc,usd
