,market,time,price_open,price_close,price_high,price_low,vwap,volume,candle_usd_volume,candle_trades_count,exchange,asset,base_pair
0,lmax-eth-usd-spot,2021-02-18 00:00:00+00:00,1920.57,1913.57,1924.88,1897.07,1911.612041861481,5997.16,11464243.27297,2109,lmax,eth,usd
1,lmax-eth-usd-spot,2021-02-19 00:00:00+00:00,1913.57,1921.27,1931.48,1913.57,1924.468906130089,534.25,1028147.5131,212,lmax,eth,usd
2,lmax-eth-usd-spot,2021-02-20 00:00:00+00:00,1921.27,1915.94,2038.79,1804.03,1972.536632004871,31994.88,63111072.8366,9934,lmax,eth,usd
3,lmax-eth-usd-spot,2021-02-21 00:00:00+00:00,1915.04,1935.16,1976.38,1884.68,1942.393653492323,33956.91,65957686.47621,10279,lmax,eth,usd
4,lmax-eth-usd-spot,2021-02-22 00:00:00+00:00,1935.81,1777.36,1937.759,1532.0,1778.280955983834,78585.9,139747809.37885,20015,lmax,eth,usd
5,lmax-eth-usd-spot,2021-02-23 00:00:00+00:00,1777.48,1579.27,1782.45,1350.07,1525.442240394431,215329.78,328473142.02684,50394,lmax,eth,usd
6,lmax-eth-usd-spot,2021-02-24 00:00:00+00:00,1577.77,1625.83,1715.02,1502.07,1630.848798727739,90083.75,146912975.47239,20298,lmax,eth,usd
7,lmax-eth-usd-spot,2021-02-25 00:00:00+00:00,1624.461,1479.54,1672.89,1457.74,1595.495722766419,68074.87,108613163.91288,21419,lmax,eth,usd
8,lmax-eth-usd-spot,2021-02-26 00:00:00+00:00,1480.14,1427.78,1563.93,1400.0,1476.299783429072,91769.15,135478776.27047,24509,lmax,eth,usd
9,lmax-eth-usd-spot,2021-02-27 00:00:00+00:00,1438.7,1459.52,1527.77,1425.7,1481.013205593911,43844.1,64933691.08738,12524,lmax,eth,usd
10,lmax-eth-usd-spot,2021-02-28 00:00:00+00:00,1459.42,1422.01,1469.67,1291.74,1363.493170636251,88412.28,120549539.98038,21926,lmax,eth,usd
11,lmax-eth-usd-spot,2021-03-01 00:00:00+00:00,1422.67,1571.47,1573.89,1412.93,1494.193797480268,58236.35,87016392.95789,16921,lmax,eth,usd
12,lmax-eth-usd-spot,2021-03-02 00:00:00+00:00,1571.65,1486.77,1604.769,1455.57,1531.480827367252,41345.4,63319687.39983,13832,lmax,eth,usd
