market,volume,candle_usd_volume,candle_trades_count
binance.us-aave-usd-spot,108446.7328,8838495.413878,55679
bitfinex-aave-usd-spot,61393.12672378,4912559.633244898,56061
bitstamp-aave-usd-spot,45523.93889805,3668674.409387416,5467
bittrex-aave-usd-spot,1627.84103213,132838.366917453,1182
cex.io-aave-usd-spot,290.907437,22693.05144844,348
coinbase-aave-usd-spot,6946344.61,560147626.11507,1721292
crypto.com-aave-usd-spot,15987.267,1307125.900484,294673
gate.io-aave-usd-spot,31255.11367275,2576642.805775938,89829
gemini-aave-usd-spot,42283.454242,3391901.8837209023,210161
itbit-aave-usd-spot,65590.05517159,5356560.493295388,36786
kraken-aave-usd-spot,503062.18075465,40832559.44182962,75388
