market,volume,candle_usd_volume,candle_trades_count
bibox-btc-usdc-spot,35966.2094,1074299612.6553736,14558054
bibox-btc-usdt-spot,1441010.436776,34387554712.24799,65200167
binance-btc-dai-spot,126171.76039,4284521565.439651,5412483
binance-btc-tusd-spot,6782718.725152,190526713515.85498,288527064
binance-btc-usdc-spot,3020824.89737,84060223278.74478,56776292
binance-btc-usdt-spot,136004705.195033,3378806928974.4414,2958444903
binance.us-btc-dai-spot,79.98807,2015750.7292263866,8174
binance.us-btc-usd-spot,3519910.658779,90922321226.73949,87997271
binance.us-btc-usdc-spot,135925.926925,3907264235.3462,3242555
binance.us-btc-usdt-spot,1045009.555948,27207196446.070927,24100934
bitfinex-btc-usd-spot,8409058.79040834,239674098930.43726,114658217
bitfinex-btc-usdt-spot,1313689.57279058,45165640601.66154,29930957
bitflyer-btc-usd-spot,184478.71251782,5379156622.6367655,1760874
bitstamp-btc-usd-spot,6150237.49169829,147000174622.4006,31419570
bitstamp-btc-usdc-spot,23826.83647338,868655724.7473989,427558
bitstamp-btc-usdt-spot,26621.41451498,758907923.8921773,523741
bittrex-btc-usd-spot,564819.43630766,13367894722.84015,11514891
bittrex-btc-usdc-spot,2638.33422994,61792499.53362204,62081
bittrex-btc-usdt-spot,314854.87267433,8887093961.601141,11716949
bullish-btc-usdc-spot,842049.93001044,23962663343.36066,13230616
bullish-btc-usdt-spot,162944.90833462,4609255700.312551,7085851
bybit-btc-dai-spot,1020.74298,25327708.707183976,280938
bybit-btc-usdc-spot,900481.367273,23068167404.748997,19817938
bybit-btc-usdt-spot,3480472.321371,84920813300.69185,67247964
cex.io-btc-usd-spot,183608.1901703,4825758981.289016,4170819
cex.io-btc-usdc-spot,328.84683153,8616034.770043366,14336
cex.io-btc-usdt-spot,15366.92473436,495886175.54072016,1254687
coinbase-btc-usd-spot,24203091.06811641,678038897174.5901,472006944
coinbase-btc-usdc-spot,767671.57364193,23381624598.52052,15011392
coinbase-btc-usdt-spot,743014.74110969,22233279852.03597,14539875
crypto.com-btc-usd-spot,890542.45013,19059057052.755894,30224561
crypto.com-btc-usdc-spot,104115.225177,2101362529.2494597,5763074
crypto.com-btc-usdt-spot,1570918.842221,33527719717.232468,43243129
ftx-btc-usd-spot,10953328.4471,354607992658.6806,118310458
ftx-btc-usdt-spot,2171689.0562,76227002257.34451,32758105
ftx.us-btc-usd-spot,1084987.6178,37332178918.61165,4969180
ftx.us-btc-usdt-spot,235683.7638,9739219252.119678,1338209
gate.io-btc-usd-spot,447459.50877424,12974732182.11713,32992560
gate.io-btc-usdc-spot,1247.9350638901,31096110.52021123,76097
gate.io-btc-usdt-spot,6286630.3326670155,158689661584.9346,406662814
gemini-btc-dai-spot,283.11872583,12619798.02701329,24973
gemini-btc-usd-spot,2175940.121667708,60423061741.467545,30039539
gemini-btc-usdt-spot,221.40021391,6193107.324423218,23646
hitbtc-btc-dai-spot,45858.91769,1102243154.867771,2921231
hitbtc-btc-tusd-spot,57916.76269,2036525246.3166425,3043189
hitbtc-btc-usdc-spot,893192.65941,30036074248.05994,7414828
hitbtc-btc-usdt-spot,29348174.39358,758191670630.6927,49580228
huobi-btc-tusd-spot,104.98867794915901,2953661.6362469927,190374
huobi-btc-usdc-spot,54992.67779106734,1508218753.656989,22582741
huobi-btc-usdt-spot,29598422.215627585,717572782740.0394,701863657
itbit-btc-usd-spot,572355.97581891,15195395755.885979,33017385
kraken-btc-dai-spot,7542.44729319,220568182.19418162,159551
