market,volume,candle_usd_volume,candle_trades_count
binance.us-snx-usd-spot,27699919.7,88610203.2318,313042
bitfinex-snx-usd-spot,5298511.68126529,15814672.836999979,270467
bitstamp-snx-usd-spot,4138100.83504947,12795890.680694595,41516
bittrex-snx-usd-spot,324867.20315562,1054490.582195308,4269
cex.io-snx-usd-spot,2905217.578959,12216402.794090074,71502
coinbase-snx-usd-spot,411347635.057,1293853282.7188408,3841030
crypto.com-snx-usd-spot,364966.3,798880.44019,489182
ftx-snx-usd-spot,104759672.4,310577660.2142,1648830
gemini-snx-usd-spot,15108584.858856,44055154.574419595,887031
kraken-snx-usd-spot,31790994.05788134,91121872.59972665,272470
