market,volume,candle_usd_volume,candle_trades_count
binance-btc-dai-spot,117866.84217,4073149967.5671687,5043906
binance-btc-usdc-spot,3596304.782623,87069101288.10786,61108109
binance-btc-usdt-spot,139006403.260297,3181443507205.8853,2815592356
binance-eth-dai-spot,5322472.91913,11237729795.062456,12441843
binance-eth-usdc-spot,28460447.53076,39730346638.96144,29158536
binance-eth-usdt-spot,1070450853.90482,1413658110907.2825,1040012740
coinbase-btc-usdc-spot,932088.22242651,24786463776.662426,15911694
coinbase-btc-usdt-spot,582704.42143844,17686507345.61943,11653769
coinbase-eth-dai-spot,2058050.66567891,2560465030.4900804,2166733
coinbase-eth-usdc-spot,12320204.84629632,18261390513.23794,13984399
coinbase-eth-usdt-spot,8641184.32419851,18107337536.25465,13424324
