,market,time,price_open,price_close,price_high,price_low,vwap,volume,candle_usd_volume,candle_trades_count,exchange,asset,base_pair
0,binance.us-btc-usd-spot,2019-09-23 00:00:00+00:00,10170.0,10170.0,10170.0,10170.0,10170.0,0.01,101.7,1,binance.us,btc,usd
1,binance.us-btc-usd-spot,2019-09-24 00:00:00+00:00,10170.0,8570.86,10170.0,7895.02,8793.195596048732,81.193101,713946.81814274,1603,binance.us,btc,usd
2,binance.us-btc-usd-spot,2019-09-25 00:00:00+00:00,8548.7,8439.02,8723.64,8268.59,8471.413368456224,30.195978,255802.61170281,847,binance.us,btc,usd
3,binance.us-btc-usd-spot,2019-09-26 00:00:00+00:00,8439.02,8059.86,8452.45,7746.83,8187.951755551889,41.977694,343711.33328132,1417,binance.us,btc,usd
4,binance.us-btc-usd-spot,2019-09-27 00:00:00+00:00,8059.86,8189.2,8273.24,7870.1,8056.601568987165,36.264057,292165.05852404,1035,binance.us,btc,usd
5,binance.us-btc-usd-spot,2019-09-28 00:00:00+00:00,8189.2,8205.15,8346.39,8033.48,8196.355455487192,27.436743,224881.29816885,697,binance.us,btc,usd
6,binance.us-btc-usd-spot,2019-09-29 00:00:00+00:00,8205.15,8060.0,8215.05,7921.99,8041.533701421723,42.16643,339082.76791364,961,binance.us,btc,usd
7,binance.us-btc-usd-spot,2019-09-30 00:00:00+00:00,8062.79,8302.29,8331.92,7739.38,8060.640129788619,71.594413,577096.79849646,1560,binance.us,btc,usd
8,binance.us-btc-usd-spot,2019-10-01 00:00:00+00:00,8313.22,8315.83,8516.0,8197.07,8363.256513616123,64.778208,541756.76999638,2069,binance.us,btc,usd
9,binance.us-btc-usd-spot,2019-10-02 00:00:00+00:00,8316.41,8382.26,8386.35,8177.3,8257.846467266027,36.112589,298212.21549748,1264,binance.us,btc,usd
10,binance.us-btc-usd-spot,2019-10-03 00:00:00+00:00,8382.26,8236.17,8405.99,8083.11,8216.374396696474,51.401324,422332.5224699,1736,binance.us,btc,usd
11,binance.us-btc-usd-spot,2019-10-04 00:00:00+00:00,8238.1,8160.76,8243.13,8018.67,8135.72848584298,62.795099,510883.87570563,1507,binance.us,btc,usd
12,binance.us-btc-usd-spot,2019-10-05 00:00:00+00:00,8160.76,8143.94,8195.25,8030.0,8112.536543729564,29.506823,239375.17987686,1191,binance.us,btc,usd
