,market,time,price_open,price_close,price_high,price_low,vwap,volume,candle_usd_volume,candle_trades_count,exchange,asset
0,binance.us-aave-usd-spot,2023-01-01 00:00:00+00:00,51.92,51.89,52.4,51.1,51.67182277995916,313.1305,16180.023703,132,binance.us,aave
1,binance.us-aave-usd-spot,2023-01-02 00:00:00+00:00,51.89,53.03,54.1,51.34,53.5379948803167,1633.0307,87429.189256,335,binance.us,aave
2,binance.us-aave-usd-spot,2023-01-03 00:00:00+00:00,52.99,53.02,53.45,52.21,53.0084772578046,368.4143,19529.081043,112,binance.us,aave
3,binance.us-aave-usd-spot,2023-01-04 00:00:00+00:00,53.02,56.82,57.65,52.7,55.81915284625857,1047.1712,58452.209269,448,binance.us,aave
4,binance.us-aave-usd-spot,2023-01-05 00:00:00+00:00,56.82,55.52,56.91,54.96,55.66907443777128,268.5384,14949.284179,121,binance.us,aave
5,binance.us-aave-usd-spot,2023-01-06 00:00:00+00:00,55.52,56.61,56.73,54.17,55.24588256889133,449.9949,24860.365402,202,binance.us,aave
6,binance.us-aave-usd-spot,2023-01-07 00:00:00+00:00,56.61,55.97,56.81,55.75,55.95714468793387,962.1134,53837.11873,153,binance.us,aave
7,binance.us-aave-usd-spot,2023-01-08 00:00:00+00:00,55.97,59.2,59.56,55.34,57.99054648126767,356.2263,20657.757808,304,binance.us,aave
8,binance.us-aave-usd-spot,2023-01-09 00:00:00+00:00,59.2,61.46,63.0,59.0,61.02286182589683,909.208,55482.474155,477,binance.us,aave
9,binance.us-aave-usd-spot,2023-01-10 00:00:00+00:00,61.3,62.01,62.66,59.7,61.73756953471127,496.5218,30654.049153,223,binance.us,aave
10,binance.us-aave-usd-spot,2023-01-11 00:00:00+00:00,62.01,64.21,64.53,60.0,62.44328149634139,707.7957,44197.086137,301,binance.us,aave
11,binance.us-aave-usd-spot,2023-01-12 00:00:00+00:00,64.21,67.89,68.48,63.5,66.53716801651044,1854.6344,123402.120682,599,binance.us,aave
12,binance.us-aave-usd-spot,2023-01-13 00:00:00+00:00,67.87,71.1,73.03,66.7,69.13089699027591,1537.5529,106292.411147,693,binance.us,aave
13,binance.us-aave-usd-spot,2023-01-14 00:00:00+00:00,71.1,75.88,80.89,71.1,76.16230611538273,4633.1164,352868.829525,2006,binance.us,aave
14,binance.us-aave-usd-spot,2023-01-15 00:00:00+00:00,75.88,79.1,82.71,72.88,77.46373628606054,2194.92,170026.704049,1320,binance.us,aave
15,binance.us-aave-usd-spot,2023-01-16 00:00:00+00:00,79.18,80.52,82.36,76.59,79.49579063676077,2871.9655,228309.168104,1099,binance.us,aave
16,binance.us-aave-usd-spot,2023-01-17 00:00:00+00:00,80.52,85.69,91.29,78.9,85.72578427333475,2961.9973,253919.541558,1744,binance.us,aave
17,binance.us-aave-usd-spot,2023-01-18 00:00:00+00:00,85.58,82.21,89.92,77.76,82.5011794140783,4632.2162,382163.299801,1885,binance.us,aave
18,binance.us-aave-usd-spot,2023-01-19 00:00:00+00:00,82.21,81.52,83.55,77.85,79.83824953476864,2073.1083,165513.337768,797,binance.us,aave
19,binance.us-aave-usd-spot,2023-01-20 00:00:00+00:00,81.2,87.72,88.35,79.83,83.78505619123936,1683.8123,141078.308171,1024,binance.us,aave
20,binance.us-aave-usd-spot,2023-01-21 00:00:00+00:00,87.72,84.52,89.13,84.3,86.35122293970629,3206.885,276918.441577,1008,binance.us,aave
21,binance.us-aave-usd-spot,2023-01-22 00:00:00+00:00,84.42,85.44,90.09,83.72,86.65018180972707,2094.5744,181495.252574,1070,binance.us,aave
22,binance.us-aave-usd-spot,2023-01-23 00:00:00+00:00,85.44,86.72,89.92,85.0,86.69454536867002,1051.2056,91133.79158100001,723,binance.us,aave
23,binance.us-aave-usd-spot,2023-01-24 00:00:00+00:00,86.72,80.12,88.34,78.79,83.78647735939704,2144.1103,179647.449107,1078,binance.us,aave
24,binance.us-aave-usd-spot,2023-01-25 00:00:00+00:00,79.77,86.08,87.38,78.24,82.3476043122427,1437.8226,118401.246536,895,binance.us,aave
25,binance.us-aave-usd-spot,2023-01-26 00:00:00+00:00,86.08,89.16,90.35,85.25,87.38545791991955,1582.958,138327.509698,926,binance.us,aave
26,binance.us-aave-usd-spot,2023-01-27 00:00:00+00:00,89.16,87.32,89.49,85.49,86.97323974815637,1564.304,136052.586831,702,binance.us,aave
27,binance.us-aave-usd-spot,2023-01-28 00:00:00+00:00,87.32,84.24,88.17,83.29,85.29767395523211,837.4396,71431.649958,504,binance.us,aave
28,binance.us-aave-usd-spot,2023-01-29 00:00:00+00:00,84.24,87.82,88.59,83.23,86.13628190211539,1742.1572,150062.943697,757,binance.us,aave
29,binance.us-aave-usd-spot,2023-01-30 00:00:00+00:00,87.55,81.25,88.27,79.54,82.6785595449681,2015.2257,166615.958034,878,binance.us,aave
30,binance.us-aave-usd-spot,2023-01-31 00:00:00+00:00,81.25,83.12,83.55,80.4,82.2773979881235,552.519,45459.825659,299,binance.us,aave
31,binance.us-aave-usd-spot,2023-02-01 00:00:00+00:00,83.12,88.16,88.39,80.35,84.34034819329685,3731.7835,314739.919772,1061,binance.us,aave
32,binance.us-aave-usd-spot,2023-02-02 00:00:00+00:00,88.4,88.07,93.42,88.05,90.56687788356491,2492.531,225740.750698,1390,binance.us,aave
33,binance.us-aave-usd-spot,2023-02-03 00:00:00+00:00,88.07,91.01,94.35,87.36,90.52775007734286,1721.8783,155877.768406,1061,binance.us,aave
34,binance.us-aave-usd-spot,2023-02-04 00:00:00+00:00,91.04,88.57,91.88,88.36,89.84275602160577,621.0013,55792.468285,440,binance.us,aave
35,binance.us-aave-usd-spot,2023-02-05 00:00:00+00:00,88.57,86.12,89.14,83.85,85.56459977768657,3208.7129,274552.23509,1279,binance.us,aave
36,binance.us-aave-usd-spot,2023-02-06 00:00:00+00:00,85.78,83.97,87.72,83.46,85.35366592606859,1740.5752,148564.47414,819,binance.us,aave
37,binance.us-aave-usd-spot,2023-02-07 00:00:00+00:00,84.05,88.7,89.28,83.86,86.70447147170933,2100.8374,182151.996415,1089,binance.us,aave
38,binance.us-aave-usd-spot,2023-02-08 00:00:00+00:00,88.76,87.05,89.97,84.6,88.29723623820927,1818.7168,160587.66694,1008,binance.us,aave
39,binance.us-aave-usd-spot,2023-02-09 00:00:00+00:00,87.1,77.95,90.03,76.5,83.7775942088271,4260.3943,356925.584835,2545,binance.us,aave
40,binance.us-aave-usd-spot,2023-02-10 00:00:00+00:00,77.95,79.03,80.51,76.82,78.74498366572588,1388.92,109370.482713,816,binance.us,aave
41,binance.us-aave-usd-spot,2023-02-11 00:00:00+00:00,79.03,79.57,79.68,77.79,78.87691476013107,1365.6708,107719.899282,441,binance.us,aave
42,binance.us-aave-usd-spot,2023-02-12 00:00:00+00:00,79.57,77.32,80.41,76.34,78.91775808679417,866.7588,68402.661298,515,binance.us,aave
43,binance.us-aave-usd-spot,2023-02-13 00:00:00+00:00,77.32,82.48,84.1,73.71,80.52597378553757,3626.7919,292050.949465,2573,binance.us,aave
44,binance.us-aave-usd-spot,2023-02-14 00:00:00+00:00,82.29,83.17,83.73,79.03,81.60917444607298,2603.2085,212445.696596,1548,binance.us,aave
45,binance.us-aave-usd-spot,2023-02-15 00:00:00+00:00,83.17,89.47,89.55,82.27,84.77572011498258,2546.2642,215861.381158,1407,binance.us,aave
46,binance.us-aave-usd-spot,2023-02-16 00:00:00+00:00,89.57,83.86,90.58,83.8,88.17486411506859,2341.2125,206436.094052,1585,binance.us,aave
47,binance.us-aave-usd-spot,2023-02-17 00:00:00+00:00,83.87,86.64,88.39,83.38,85.70786781599332,1812.3539,155332.988497,1228,binance.us,aave
48,binance.us-aave-usd-spot,2023-02-18 00:00:00+00:00,86.64,90.99,91.46,86.53,89.02825781606023,1391.0173,123839.846811,1003,binance.us,aave
49,binance.us-aave-usd-spot,2023-02-19 00:00:00+00:00,90.99,90.27,95.41,89.27,91.9641992813655,2910.7147,267681.546722,1538,binance.us,aave
50,binance.us-aave-usd-spot,2023-02-20 00:00:00+00:00,90.27,91.76,93.01,87.12,90.87766965013964,1952.8248,177468.167059,989,binance.us,aave
51,binance.us-aave-usd-spot,2023-02-21 00:00:00+00:00,91.76,87.6,92.66,85.82,89.77239738751555,1416.0314,127120.533554,882,binance.us,aave
52,binance.us-aave-usd-spot,2023-02-22 00:00:00+00:00,87.6,85.04,87.77,82.08,84.72160632264234,1258.5118,106623.141272,923,binance.us,aave
53,binance.us-aave-usd-spot,2023-02-23 00:00:00+00:00,85.04,85.59,87.57,83.88,86.13131170632602,916.8752,78971.663647,700,binance.us,aave
54,binance.us-aave-usd-spot,2023-02-24 00:00:00+00:00,85.66,81.28,86.67,80.05,83.0137909356644,1333.3178,110683.7651,908,binance.us,aave
55,binance.us-aave-usd-spot,2023-02-25 00:00:00+00:00,81.28,80.06,83.55,77.32,80.23262422652766,895.5233,71850.184415,710,binance.us,aave
56,binance.us-aave-usd-spot,2023-02-26 00:00:00+00:00,79.98,82.18,82.37,79.69,80.87603178454638,691.1409,55896.733396,407,binance.us,aave
57,binance.us-aave-usd-spot,2023-02-27 00:00:00+00:00,82.18,80.17,83.44,79.57,81.41646772189465,822.8364,66992.433201,561,binance.us,aave
58,binance.us-aave-usd-spot,2023-02-28 00:00:00+00:00,80.18,77.44,80.18,76.82,78.63693216403527,879.445,69156.856807,536,binance.us,aave
59,binance.us-aave-usd-spot,2023-03-01 00:00:00+00:00,77.44,82.84,83.22,77.0,80.78952013532255,1336.0079,107935.437138,814,binance.us,aave
60,binance.us-aave-usd-spot,2023-03-02 00:00:00+00:00,82.84,79.78,82.97,78.46,80.09538048561123,1687.5763,135167.065847,759,binance.us,aave
61,binance.us-aave-usd-spot,2023-03-03 00:00:00+00:00,79.78,77.0,79.9,73.3,75.929470497109,1069.4918,81205.946075,493,binance.us,aave
62,binance.us-aave-usd-spot,2023-03-04 00:00:00+00:00,77.0,75.4,77.4,73.9,75.64084704358643,311.932,23594.8007,186,binance.us,aave
63,binance.us-aave-usd-spot,2023-03-05 00:00:00+00:00,75.4,74.8,77.1,74.7,75.88797010789219,517.461,39269.0649,210,binance.us,aave
64,binance.us-aave-usd-spot,2023-03-06 00:00:00+00:00,74.8,76.7,77.4,74.3,75.78461616143876,227.752,17260.0979,154,binance.us,aave
65,binance.us-aave-usd-spot,2023-03-07 00:00:00+00:00,76.7,75.2,77.8,73.8,75.44621305480919,395.992,29876.0968,286,binance.us,aave
66,bitfinex-aave-usd-spot,2023-01-01 00:00:00+00:00,51.947,52.269,52.414,51.134,51.85667847312417,191.25411268,9917.803027909422,294,bitfinex,aave
67,bitfinex-aave-usd-spot,2023-01-02 00:00:00+00:00,52.269,53.031,54.012,51.458,53.37084446306462,496.75145369,26512.04457169024,436,bitfinex,aave
68,bitfinex-aave-usd-spot,2023-01-03 00:00:00+00:00,53.033,53.097,53.505,52.184,52.92503481545672,208.05937684,11011.54976293923,352,bitfinex,aave
69,bitfinex-aave-usd-spot,2023-01-04 00:00:00+00:00,53.097,56.781,57.698,52.631,55.90722742690423,1553.18813827,86834.44248303087,762,bitfinex,aave
70,bitfinex-aave-usd-spot,2023-01-05 00:00:00+00:00,56.781,55.423,56.856,54.97,55.46425873856624,188.81184645,10472.30910440924,455,bitfinex,aave
71,bitfinex-aave-usd-spot,2023-01-06 00:00:00+00:00,55.445,56.458,56.971,54.039,55.56835750909088,587.06107662,32622.01978529195,493,bitfinex,aave
72,bitfinex-aave-usd-spot,2023-01-07 00:00:00+00:00,56.458,56.063,56.829,55.79,56.21600974125466,459.17487899,25812.979470241273,408,bitfinex,aave
73,bitfinex-aave-usd-spot,2023-01-08 00:00:00+00:00,56.063,59.312,59.435,55.479,58.27180103021789,409.39544532,23856.209932364487,509,bitfinex,aave
74,bitfinex-aave-usd-spot,2023-01-09 00:00:00+00:00,59.312,61.172,63.033,59.095,61.48086399466079,1528.3606946,93964.93599948788,1058,bitfinex,aave
75,bitfinex-aave-usd-spot,2023-01-10 00:00:00+00:00,61.172,61.843,62.916,59.737,61.29455177602005,409.37368311,25092.37641512592,668,bitfinex,aave
76,bitfinex-aave-usd-spot,2023-01-11 00:00:00+00:00,61.986,64.317,64.627,60.047,61.61072244226954,381.2432114,23488.669680564886,627,bitfinex,aave
77,bitfinex-aave-usd-spot,2023-01-12 00:00:00+00:00,64.317,67.929,68.558,63.609,66.63465149801894,1174.4498917,78259.0592353156,928,bitfinex,aave
78,bitfinex-aave-usd-spot,2023-01-13 00:00:00+00:00,67.756,71.17,73.157,66.697,69.6302242577273,1041.69566413,72533.50270167406,898,bitfinex,aave
79,bitfinex-aave-usd-spot,2023-01-14 00:00:00+00:00,71.17,75.888,80.862,71.17,76.4091703222737,3647.3760436,278692.9773448131,1892,bitfinex,aave
80,bitfinex-aave-usd-spot,2023-01-15 00:00:00+00:00,75.888,79.175,82.539,72.907,77.46856434711852,3136.66174046,242992.68187597024,1768,bitfinex,aave
81,bitfinex-aave-usd-spot,2023-01-16 00:00:00+00:00,79.175,80.539,82.528,76.615,79.2084380693477,2048.81883539,162283.73983830187,1420,bitfinex,aave
82,bitfinex-aave-usd-spot,2023-01-17 00:00:00+00:00,80.539,85.43,91.153,79.013,86.00230207137969,2769.94177275,238221.36906017843,1997,bitfinex,aave
83,bitfinex-aave-usd-spot,2023-01-18 00:00:00+00:00,85.43,82.086,89.576,72.712,82.42959765445447,3001.45433053,247408.67284380787,2209,bitfinex,aave
