market,volume,candle_usd_volume,candle_trades_count
binance.us-btc-usd-spot,3538631.74212,91051385892.84589,88346106
bitfinex-btc-usd-spot,25164909.909280512,370317849089.7592,160192046
bitflyer-btc-usd-spot,190170.1304066,5407674908.799351,1864637
bitstamp-btc-usd-spot,13030738.31089224,199509685153.17563,48796971
bittrex-btc-usd-spot,783143.82214849,15229648201.744837,12783368
cex.io-btc-usd-spot,593550.50123089,8271271139.3519745,9569009
coinbase-btc-usd-spot,33540693.50381296,745363968026.1322,513290501
crypto.com-btc-usd-spot,873690.81412,18551888191.27953,29078325
ftx-btc-usd-spot,11008283.4297,355087907459.0586,118421368
ftx.us-btc-usd-spot,1084987.6178,37332178918.61165,4969180
gate.io-btc-usd-spot,447256.94255724,12968548071.00717,32981626
gatecoin-btc-usd-spot,17116.20638099,127458893.05635534,65872
gemini-btc-usd-spot,2749141.808026343,64999407717.17376,31658832
itbit-btc-usd-spot,961036.67000801,18210041815.39298,32459772
kraken-btc-usd-spot,10781453.20355594,198236247057.89352,55125042
liquid-btc-usd-spot,1139002.51985952,11864101277.635525,6658113
lmax-btc-usd-spot,3566648.27,125420403416.59608,15345441
localbitcoins-btc-usd-spot,119212.71391669,1014757767.339236,2071275
therocktrading-btc-usd-spot,1.4519,20474.716617,85
