market,volume,candle_usd_volume,candle_trades_count
binance.us-btc-usd-spot,689941.178812,18632956848.845245,20454983
bitfinex-btc-usd-spot,247987.08518441,6726200994.918275,4103525
bitflyer-btc-usd-spot,7391.52494934,199510292.98237908,96228
bitstamp-btc-usd-spot,325200.14683861,8929826851.38697,2776858
bittrex-btc-usd-spot,5420.81687598,141118389.84237996,227830
cex.io-btc-usd-spot,1698.63767956,45270312.55835185,96498
coinbase-btc-usd-spot,2107860.86178273,57964047232.37488,50055329
crypto.com-btc-usd-spot,283801.39657,7398119532.233676,12244965
gate.io-btc-usd-spot,62228.63758792,1614127943.2867978,2513552
gemini-btc-usd-spot,66998.19080522,1826933753.6484904,1452161
itbit-btc-usd-spot,33809.98347858,922284427.8302097,7172036
kraken-btc-usd-spot,577810.3321147,15814240469.716312,5776325
lmax-btc-usd-spot,553725.19,15107349655.66085,2055702
