market,volume,candle_usd_volume,candle_trades_count
binance.us-aave-usd-spot,1162633.3531,106754707.506978,382263
binance.us-ada-usd-spot,4431609613.3,2068806541.65812,5186579
binance.us-algo-usd-spot,1052700719.704,383856523.7409976,1232554
binance.us-amp-usd-spot,2465864641.8,37293684.83935,143124
binance.us-atom-usd-spot,46814695.43,567413326.834929,2353779
binance.us-avax-usd-spot,36967811.26,869071671.971,2366139
binance.us-bat-usd-spot,101378822.37,38050064.586632,186081
binance.us-bch-usd-spot,714365.40559,96832510.358256,442107
binance.us-btc-usd-spot,2686897.314988,60234805553.82028,56720931
binance.us-comp-usd-spot,1073345.25163,63809557.8309576,295577
binance.us-crv-usd-spot,158856435.6,179718252.2857,615001
binance.us-dot-usd-spot,27470459.24,229330747.0158,826599
binance.us-etc-usd-spot,6157814.93,166601277.307453,546569
binance.us-eth-usd-spot,15597886.86675,25249545435.188553,21846883
binance.us-fil-usd-spot,14688053.8385,105374661.1724259,341552
binance.us-ldo-usd-spot,18546622.31,40426439.22101,149016
binance.us-link-usd-spot,89887328.85,668605604.893819,2068344
binance.us-lpt-usd-spot,2098503.81,20039470.4074,96563
binance.us-ltc-usd-spot,5759505.80251,435025363.9166921,1388675
binance.us-mana-usd-spot,335619128.8,300373673.154388,1333240
binance.us-matic-usd-spot,2565549162.4,2167966402.14614,5604829
binance.us-mkr-usd-spot,78775.63456,82295348.29340884,259593
binance.us-snx-usd-spot,28572644.8,90779822.616,328108
binance.us-sol-usd-spot,103185776.28,3224439539.267768,7896110
binance.us-uni-usd-spot,17030856.14,108549009.331693,359951
binance.us-xlm-usd-spot,1121127238.9,135392619.22678,711926
binance.us-yfi-usd-spot,12507.57352,120682291.4735012,290126
binance.us-zec-usd-spot,840204.21831,64669259.7627896,255647
binance.us-zen-usd-spot,1121708.883,18472159.942251,110965
bitfinex-aave-usd-spot,333084.30764039,29491650.605146013,298185
bitfinex-ada-usd-spot,1921912526.9328997,791063731.9428738,1961493
bitfinex-algo-usd-spot,381376490.6686683,153276792.45313346,852215
bitfinex-atom-usd-spot,11884383.21237805,149925724.5079372,1667812
