market,volume,candle_usd_volume,candle_trades_count
bitfinex-ltc-usd-spot,11505958.78569032,798616349.9878634,1915150
bitfinex-mana-usd-spot,30537114.38857212,25607094.648956373,261771
bitfinex-matic-usd-spot,339463411.55237746,288634141.8037677,747995
bitfinex-mkr-usd-spot,36615.23168989,32572811.403765757,293303
bitfinex-sol-usd-spot,29447586.08337177,892331964.6749878,1845674
bitfinex-uni-usd-spot,15042647.42794883,95798442.03991571,450899
bitfinex-xlm-usd-spot,1056448847.3629433,124477880.78140536,604936
bitfinex-yfi-usd-spot,6400.20116433,58094295.59821333,368219
bitfinex-zec-usd-spot,1536224.20071936,116175689.26589593,567632
bitflyer-btc-usd-spot,57507.8752103,1419433101.162057,478090
bitflyer-eth-usd-spot,34388.1180589,50866540.08143418,108267
bitstamp-aave-usd-spot,351322.76457753,32056329.207542952,53555
bitstamp-ada-usd-spot,173515115.2022863,76678255.57370639,78848
bitstamp-algo-usd-spot,142740347.31455573,47265525.72132541,87238
bitstamp-amp-usd-spot,63062870.35910566,506933.6440574325,3715
bitstamp-avax-usd-spot,1612467.47387085,41084169.96509524,68569
bitstamp-bat-usd-spot,18254728.72099435,6655615.908928412,13168
bitstamp-bch-usd-spot,1612192.62868365,242115301.57371494,329311
bitstamp-btc-usd-spot,856086.26407134,19906369964.348,5965003
bitstamp-comp-usd-spot,159645.67091637,9486145.525166726,29374
bitstamp-crv-usd-spot,15824102.23897573,17688286.042289875,31075
bitstamp-dot-usd-spot,2353462.84,14204356.69142,25347
bitstamp-eth-usd-spot,5607800.42166694,8890458689.457352,3859386
bitstamp-link-usd-spot,46310540.67713299,353078759.3731259,358155
bitstamp-ltc-usd-spot,6616564.80837627,454746109.1324424,492263
bitstamp-mana-usd-spot,10323900.95,8449381.125,13116
bitstamp-matic-usd-spot,165162658.49580538,150075047.8819094,172918
bitstamp-mkr-usd-spot,20739.49953136,20160504.93643399,71312
bitstamp-sol-usd-spot,2277406.7600000002,52399491.696645,87066
bitstamp-uni-usd-spot,7078539.29274994,43646727.92007988,66692
bitstamp-xlm-usd-spot,2255026134.7724323,255231383.45631325,535690
bitstamp-yfi-usd-spot,1387.37701423,12374468.890270306,41272
bittrex-aave-usd-spot,34520.86954589,4079403.712484458,20033
bittrex-ada-usd-spot,255851775.83098432,122372896.93485926,244240
bittrex-algo-usd-spot,19842178.51813552,7172871.265740799,36645
bittrex-amp-usd-spot,25777955.87691036,222212.38556122445,3414
bittrex-atom-usd-spot,1489213.56092736,19848020.48696685,49740
bittrex-avax-usd-spot,249095.95945541,7624646.537983896,30976
bittrex-bat-usd-spot,7250767.73778551,2944916.815182024,9467
bittrex-bch-usd-spot,61410.580047359996,10235133.965486435,51365
bittrex-btc-usd-spot,51850.84310662,1239652403.5285182,1358415
bittrex-comp-usd-spot,18723.30946844,1138690.5605071788,10184
bittrex-dot-usd-spot,1411329.14544162,13813743.968799282,37723
bittrex-etc-usd-spot,286646.39891391,7804103.825201293,24767
bittrex-eth-usd-spot,422378.96930927,690616442.360656,536927
bittrex-fil-usd-spot,221013.86418361,1620005.038796285,7934
bittrex-link-usd-spot,1359672.08706518,10997576.596893115,36173
bittrex-ltc-usd-spot,871175.88631724,60914540.734268166,231557
bittrex-mana-usd-spot,11055631.82828968,10944277.52697344,31732
bittrex-matic-usd-spot,24553446.82452007,21568182.28860689,50978
bittrex-sol-usd-spot,244429.29611337,5776743.993861185,20215
bittrex-uni-usd-spot,461806.79333252,2955967.4871965027,11439
bittrex-xlm-usd-spot,139379543.90561053,16172614.980019828,49981
bittrex-yfi-usd-spot,0.6149417,4976.99963281502,119
bittrex-zec-usd-spot,23807.95286183,2138926.742776968,6829
bittrex-zen-usd-spot,111875.20666907,2014484.142830649,12135
cex.io-aave-usd-spot,21993.702127,2381414.36824186,82895
cex.io-ada-usd-spot,86327233.116757,52841812.163842134,268532
cex.io-algo-usd-spot,737563.429873,239634.5044885469,4864
cex.io-atom-usd-spot,377719.10791,4787842.322536184,32532
cex.io-avax-usd-spot,58346.060679,1745911.202841701,27827
cex.io-bat-usd-spot,2620179.421037,1089537.2599148888,24160
cex.io-bch-usd-spot,18222.37059191,3266856.7925022333,62260
cex.io-btc-usd-spot,19456.68950311,473289842.97218406,892209
cex.io-comp-usd-spot,7058.901142,607246.21883071,27575
cex.io-crv-usd-spot,311194.180363,509113.62700863456,18185
cex.io-dot-usd-spot,1115513.109473,10482416.744459452,53586
cex.io-eth-usd-spot,514002.160485,889999137.3620168,1237165
cex.io-fil-usd-spot,19398.28324144,145224.9678653933,2209
cex.io-link-usd-spot,1038621.488126,8603973.466426136,91604
cex.io-ltc-usd-spot,272143.7836603,19135863.859519858,236806
cex.io-mana-usd-spot,1203888.093259,1223030.6209630652,16276
cex.io-matic-usd-spot,101973604.026899,94997126.82400471,527307
cex.io-mkr-usd-spot,329.000326,402334.8658794,11736
cex.io-sol-usd-spot,687877.999794,29790535.208522588,234342
cex.io-uni-usd-spot,6230909.785991,44598414.3098029,200426
cex.io-xlm-usd-spot,333019739.8276887,40133905.103260174,211346
cex.io-yfi-usd-spot,31.517487,473288.3420597,10025
coinbase-aave-usd-spot,29671915.77,2613336114.093936,8213775
coinbase-ada-usd-spot,29687376433.48,14065713443.871681,28011618
coinbase-algo-usd-spot,11418542392.8,3810370706.63102,13102542
coinbase-amp-usd-spot,73136606705.0,587766096.09201,5490982
coinbase-atom-usd-spot,432160450.67,5239875308.61863,13465004
coinbase-avax-usd-spot,387211869.715,9628517279.32269,12671627
coinbase-bat-usd-spot,844209518.68,307678433.2461808,1439607
coinbase-bch-usd-spot,11331374.05135351,1586008209.9766166,6281485
coinbase-btc-usd-spot,8538228.77160282,192850502415.3449,210073623
coinbase-comp-usd-spot,13677882.779,790081936.33071,3033244
coinbase-crv-usd-spot,1552486665.97,1686389594.40946,5374834
coinbase-dot-usd-spot,466177524.569,3667094220.065552,8578167
coinbase-etc-usd-spot,72013424.82382517,2051885750.5393496,4546404
coinbase-eth-usd-spot,104050584.12889732,161618212204.7101,190102195
coinbase-fil-usd-spot,382794198.486,2485433918.658709,5413514
coinbase-link-usd-spot,1050151226.28,7866780021.049535,14645558
coinbase-lpt-usd-spot,20261371.951,196517245.74740002,779629
coinbase-ltc-usd-spot,92286680.34308545,6417985531.097935,18209273
coinbase-mana-usd-spot,2917303984.87,2557891179.906866,8817692
coinbase-matic-usd-spot,14588915590.2,12909785654.98374,24598429
coinbase-mkr-usd-spot,1327704.70942,1241256910.8784058,5503142
coinbase-sol-usd-spot,849679747.926,26339642578.736633,36600740
coinbase-uni-usd-spot,327556492.681712,2125532330.6778846,8984394
coinbase-xlm-usd-spot,28955558951.0,3338885829.666776,14805841
coinbase-yfi-usd-spot,179509.75714,1536565189.7298355,5648087
coinbase-zec-usd-spot,13314131.90358151,908772804.682892,2974843
coinbase-zen-usd-spot,5539174.535,76489889.57547,504725
crypto.com-aave-usd-spot,52406.432,3852814.012614,527080
crypto.com-ada-usd-spot,301137684.0,100996872.31018,2168156
crypto.com-algo-usd-spot,16202110.0,4005082.03986,650088
crypto.com-amp-usd-spot,67889450.0,308488.88416,490279
crypto.com-atom-usd-spot,2576751.53,31286767.05797,935532
crypto.com-avax-usd-spot,2020836.08,32533725.51,1636998
crypto.com-bat-usd-spot,1573625.0,376548.09747,519174
crypto.com-bch-usd-spot,6253.897,712239.94675,555301
crypto.com-btc-usd-spot,773197.68414,15719705717.77884,23232025
crypto.com-comp-usd-spot,10254.52,452223.16237,472708
crypto.com-crv-usd-spot,1842335.9,1656186.96,498341
crypto.com-dot-usd-spot,13342866.57,79538411.702816,1705958
crypto.com-etc-usd-spot,604027.97,12500587.499400001,540765
crypto.com-eth-usd-spot,7240332.6762,10509869001.753407,17910140
crypto.com-fil-usd-spot,356712.78,1969076.467501,614294
crypto.com-link-usd-spot,8083542.26,55445928.626845,1628747
crypto.com-lpt-usd-spot,1010497.23,7068518.72571,548331
crypto.com-ltc-usd-spot,748590.39,55617473.768549,850000
crypto.com-mana-usd-spot,7435977.9,3861405.746564,545342
crypto.com-matic-usd-spot,162980642.9,172001003.411971,3517266
crypto.com-mkr-usd-spot,2622.9348,1981942.969808,430249
crypto.com-sol-usd-spot,9886644.71,182287250.75556,3394392
crypto.com-uni-usd-spot,1426605.57,8857656.705742,585665
crypto.com-xlm-usd-spot,25889106.0,2238538.53816,549385
crypto.com-yfi-usd-spot,481.55482,3629724.1762997,527064
ftx-aave-usd-spot,9486575.69,881187728.511,2224996
ftx-algo-usd-spot,315457582.0,124117614.8677,579127
ftx-atom-usd-spot,169769663.1,1817082070.4155,2534190
ftx-avax-usd-spot,146332385.0,3862268383.62105,4615479
ftx-bat-usd-spot,95564544.0,42836976.842125,219247
ftx-bch-usd-spot,8421412.658,1128020847.44948,2453543
ftx-btc-usd-spot,5474257.1395,130316601587.7002,46128646
ftx-comp-usd-spot,1836381.2219,110389655.577559,2282149
ftx-crv-usd-spot,330936805.0,388426436.33535,801135
ftx-dot-usd-spot,207906986.6,1756296808.2567,3124870
ftx-eth-usd-spot,70453443.54,111638527447.3691,50948019
ftx-link-usd-spot,234682840.6,1791877484.4214501,2916002
ftx-ltc-usd-spot,58713219.71,3588562445.74395,4427774
ftx-mana-usd-spot,298279837.0,305333895.1064,803144
ftx-matic-usd-spot,6045130595.0,4577379744.808794,5461490
ftx-mkr-usd-spot,84771.761,88634252.053,337231
ftx-sol-usd-spot,524961643.82,21997519155.362152,32339268
ftx-uni-usd-spot,121264289.1,793399423.1374,1937528
ftx-yfi-usd-spot,32487.5411,300951289.8685,422918
ftx.us-aave-usd-spot,1066220.76,106344758.8072,379169
ftx.us-algo-usd-spot,55807732.0,20084085.972,110193
ftx.us-avax-usd-spot,27882966.9,729267768.4436,412301
ftx.us-bat-usd-spot,35291237.0,13599671.3645,154579
ftx.us-bch-usd-spot,2655531.499,374945041.34154,407398
ftx.us-btc-usd-spot,552021.884,13125944111.8066,2806755
ftx.us-eth-usd-spot,11978700.019,18710509924.1404,5101013
ftx.us-link-usd-spot,61281675.1,464308051.73275,592656
ftx.us-ltc-usd-spot,11145651.71,678823671.1454,585676
ftx.us-matic-usd-spot,898816475.0,734418449.099176,1122024
ftx.us-mkr-usd-spot,60315.418,58628729.2695,186613
ftx.us-sol-usd-spot,102501878.63,4159175760.2335,3467062
ftx.us-uni-usd-spot,15181711.2,98371237.9841,519165
ftx.us-yfi-usd-spot,3295.3166,32097923.9105,65087
gate.io-aave-usd-spot,62228.50003211,4859123.056730635,299857
gate.io-bch-usd-spot,44875.88079106,6156531.461294239,247967
gate.io-btc-usd-spot,321146.49675958,7092173490.37481,28868427
gate.io-comp-usd-spot,64585.24667711,3081894.0136329457,248581
gate.io-crv-usd-spot,9402821.22651377,8971502.820434364,238478
gate.io-eth-usd-spot,2490095.28417192,3778280461.734189,6830236
gate.io-link-usd-spot,2717924.60628395,19750910.720344763,510972
gate.io-ltc-usd-spot,640834.37038184,46861057.59422474,330413
gate.io-matic-usd-spot,27952957.85410424,30397119.117155187,609107
gate.io-sol-usd-spot,3215383.59275375,78457439.2488827,786781
gate.io-uni-usd-spot,1256811.45356168,7883022.865156875,529669
gate.io-yfi-usd-spot,504.90061056,4025751.252675154,177354
gemini-aave-usd-spot,837293.538829,75894518.48757826,1235725
gemini-amp-usd-spot,9986273702.866255,101465776.05637024,622127
gemini-atom-usd-spot,197980.987054,2549675.1961565022,17345
gemini-avax-usd-spot,457191.69654699997,7513314.609817475,229262
gemini-bat-usd-spot,52334527.574394,19776048.82358196,382148
gemini-bch-usd-spot,547158.123415,83420865.42779894,504037
gemini-btc-usd-spot,440024.58840543,10384333191.594517,6768996
gemini-comp-usd-spot,347099.410451,20512907.79173107,814886
gemini-crv-usd-spot,66036263.407284,69647264.4543669,1024934
gemini-dot-usd-spot,3020775.251995,20609030.576077063,199801
gemini-eth-usd-spot,4791777.886373,7643437516.514272,4816912
gemini-fil-usd-spot,19934067.826369,146434513.07883948,457832
gemini-link-usd-spot,34340742.287074,265310542.7571982,822728
gemini-lpt-usd-spot,385454.033076,4856715.352034564,271804
gemini-ltc-usd-spot,4322089.53014,295069357.7249376,810725
gemini-mana-usd-spot,82737177.679576,78388796.20688866,587610
gemini-matic-usd-spot,381519232.771031,329500385.6883043,2135481
gemini-mkr-usd-spot,40856.516245,39677771.80328447,226560
gemini-sol-usd-spot,27460190.219225,900360254.2443242,2552531
gemini-uni-usd-spot,10694292.173686,70857760.48436937,1371575
gemini-yfi-usd-spot,6832.522695,57776499.46595797,561513
gemini-zec-usd-spot,886815.611645,63638046.40628124,467081
itbit-aave-usd-spot,228764.81041069,20467740.93085727,76549
itbit-bch-usd-spot,390875.99691469,58767558.264109105,581886
itbit-btc-usd-spot,122097.03911504999,2819513534.5327287,14804113
itbit-eth-usd-spot,1118073.04601857,1882952235.2656538,7840640
itbit-link-usd-spot,1342015.97794216,9950250.13261792,55755
itbit-ltc-usd-spot,1669478.5595400599,122945821.9105666,998086
itbit-matic-usd-spot,37211353.55690679,37144673.58888145,891762
itbit-sol-usd-spot,191590.43131469,4066396.5526739922,58747
itbit-uni-usd-spot,2180657.12464297,13666648.746228684,356014
kraken-aave-usd-spot,2846195.73270745,254480293.482087,478449
kraken-ada-usd-spot,4191575065.0899105,2012691412.429328,2010039
kraken-algo-usd-spot,784653286.6830848,265994623.7929173,712912
kraken-atom-usd-spot,59994496.75159551,741688033.7452492,1388290
kraken-avax-usd-spot,28661511.81610561,682458661.8511448,893620
kraken-bat-usd-spot,138434096.15718466,48860789.19344698,102020
kraken-bch-usd-spot,1332718.94974581,190935236.29775357,432089
kraken-btc-usd-spot,1390597.37334795,32468895772.093796,10217536
kraken-comp-usd-spot,1002927.74403793,60902743.680423684,158160
kraken-crv-usd-spot,139730022.8136753,146779141.53713152,273808
kraken-dot-usd-spot,181124192.121067,1439727330.0072353,2053886
kraken-etc-usd-spot,5845618.8869375,173536095.11359012,325029
kraken-eth-usd-spot,15086637.10947956,24139318358.15495,8093242
kraken-fil-usd-spot,38366654.48375004,264259001.9951303,579249
kraken-link-usd-spot,93061658.45996298,701772764.9064507,1203495
kraken-lpt-usd-spot,1227421.22744506,13677613.20177632,49975
kraken-ltc-usd-spot,12013898.45734351,853836034.9250226,1389368
kraken-mana-usd-spot,276757926.17714024,241437031.97551253,487357
kraken-matic-usd-spot,1852934623.9513729,1719416226.993274,1953953
kraken-mkr-usd-spot,51070.16450155,45380770.91812648,86141
kraken-sol-usd-spot,133213450.4738602,4118830078.250479,3452961
kraken-uni-usd-spot,29537002.903409,187100764.5570923,453192
kraken-xlm-usd-spot,1531823829.1269722,173734016.38973936,478439
kraken-yfi-usd-spot,6632.04341933,57155679.21596916,80685
kraken-zec-usd-spot,3624159.41441748,304280848.9933528,331224
liquid-bch-usd-spot,11838.8180292,2022850.5305206375,4459
liquid-btc-usd-spot,5095.21893984,125096042.70814334,115432
liquid-eth-usd-spot,88881.2271581,146597003.09913972,99106
lmax-bch-usd-spot,1043287.81,149744390.99941,275533
lmax-btc-usd-spot,1490144.25,33866993628.70721,5480524
lmax-eth-usd-spot,11029538.35,17597706315.38841,6010206
lmax-ltc-usd-spot,16784817.87,1319660682.96801,1408692
localbitcoins-btc-usd-spot,820.66723894,18740855.441244446,52933
