market,volume,candle_usd_volume,candle_trades_count
binance.us-aave-usd-spot,1098386.7062,102357500.752029,348857
binance.us-ada-usd-spot,4114196255.2,1949040735.5463,4745635
binance.us-algo-usd-spot,966964949.605,368639045.7562626,1107897
binance.us-amp-usd-spot,2465864641.8,37293684.83935,143124
binance.us-atom-usd-spot,44530447.317999996,542450106.958828,2186777
binance.us-avax-usd-spot,34551651.61,829498900.6159,2213511
binance.us-bat-usd-spot,96415008.74,36874393.434254,169248
binance.us-bch-usd-spot,661119.95063,90200336.0385748,401111
binance.us-btc-usd-spot,2338019.678869,50287811173.424194,47819165
binance.us-comp-usd-spot,1050049.61349,62963969.9480386,281870
binance.us-crv-usd-spot,154175220.1,175444626.4399,586400
binance.us-dot-usd-spot,25015049.99,215213928.4785,703107
binance.us-etc-usd-spot,5580140.33,155385677.549812,471789
binance.us-eth-usd-spot,12766383.17336,19830501243.63609,17811214
binance.us-fil-usd-spot,12308366.8704,92960559.6792509,283320
binance.us-link-usd-spot,84548984.09,631414831.821901,1905657
binance.us-lpt-usd-spot,1837651.6300000001,18674753.6309,82845
binance.us-ltc-usd-spot,5016839.13097,367710179.2650977,1166307
binance.us-mana-usd-spot,322170357.14,293449034.196821,1272498
binance.us-matic-usd-spot,2463911122.1,2072644481.62805,5232613
binance.us-mkr-usd-spot,76750.09873,80943334.29548368,247518
binance.us-sol-usd-spot,94888797.58,3044933957.706021,7456528
binance.us-uni-usd-spot,16291879.84,104611738.378367,336343
binance.us-xlm-usd-spot,1029325232.9,126568756.98342,589424
binance.us-yfi-usd-spot,12084.98794,117397033.1958255,271267
binance.us-zec-usd-spot,809786.89494,63637075.712355,240958
binance.us-zen-usd-spot,1069116.361,18012627.627376,100417
bitfinex-aave-usd-spot,306036.15517772,27680389.616770726,280865
bitfinex-ada-usd-spot,1710137129.0720494,719209171.3399898,1777809
bitfinex-algo-usd-spot,357361772.2071266,149386756.45116362,819698
bitfinex-atom-usd-spot,10549839.11440255,135719702.8377832,1281851
bitfinex-avax-usd-spot,15170709.06655736,371425194.6411757,746140
bitfinex-bat-usd-spot,30971026.72289245,11448065.133498607,257596
bitfinex-btc-usd-spot,1670962.05185945,39628575886.00691,15640021
bitfinex-comp-usd-spot,341107.67453882,22753702.12569523,280569
bitfinex-crv-usd-spot,22358587.12983097,23253192.309691288,290934
bitfinex-dot-usd-spot,41603272.48548786,368533471.5739657,1183812
bitfinex-etc-usd-spot,9516642.912188949,263210181.85640493,624165
bitfinex-eth-usd-spot,11714717.48797113,18657132905.146538,11534656
bitfinex-fil-usd-spot,17270984.87823075,124937174.4074985,528055
bitfinex-link-usd-spot,35922806.93250499,278550665.45262694,861917
