,market,time,price_open,price_close,price_high,price_low,vwap,volume,candle_usd_volume,candle_trades_count,exchange,asset,base_pair
0,binance.us-snx-usd-spot,2022-04-01 00:00:00+00:00,6.816,7.692,8.16,6.633,7.299678470462226,230982.2,1686095.7924,3696,binance.us,snx,usd
1,binance.us-snx-usd-spot,2022-04-02 00:00:00+00:00,7.723,7.187,7.79,7.097,7.531115618730747,72975.2,549584.6685,1188,binance.us,snx,usd
2,binance.us-snx-usd-spot,2022-04-03 00:00:00+00:00,7.214,7.299,7.46,7.03,7.230693669487808,30779.5,222557.1358,708,binance.us,snx,usd
3,binance.us-snx-usd-spot,2022-04-04 00:00:00+00:00,7.299,6.955,7.409,6.666,7.090377920383192,32568.5,230922.9733,717,binance.us,snx,usd
4,binance.us-snx-usd-spot,2022-04-05 00:00:00+00:00,6.971,6.147,6.999,6.11,6.547481303311856,70927.0,464393.2064,781,binance.us,snx,usd
5,binance.us-snx-usd-spot,2022-04-06 00:00:00+00:00,6.124,5.382,6.145,5.364,5.718361184151268,115461.6,660251.1317,1216,binance.us,snx,usd
6,binance.us-snx-usd-spot,2022-04-07 00:00:00+00:00,5.394,5.696,5.845,5.289,5.61230702720944,39115.1,219525.9506,572,binance.us,snx,usd
7,binance.us-snx-usd-spot,2022-04-08 00:00:00+00:00,5.684,5.169,5.78,5.169,5.545538807536051,53757.6,298114.857,463,binance.us,snx,usd
8,binance.us-snx-usd-spot,2022-04-09 00:00:00+00:00,5.169,5.411,5.42,5.153,5.270478744627028,14586.9,76879.9464,192,binance.us,snx,usd
9,binance.us-snx-usd-spot,2022-04-10 00:00:00+00:00,5.411,5.086,5.479,5.073,5.277496397731241,52980.5,279604.3979,383,binance.us,snx,usd
10,binance.us-snx-usd-spot,2022-04-11 00:00:00+00:00,5.072,4.489,5.129,4.442,4.8560278125,13760.0,66818.9427,312,binance.us,snx,usd
11,binance.us-snx-usd-spot,2022-04-12 00:00:00+00:00,4.509,4.955,5.066,4.482,4.856452156373537,53147.1,258106.3484,586,binance.us,snx,usd
12,binance.us-snx-usd-spot,2022-04-13 00:00:00+00:00,4.961,5.156,5.198,4.845,5.043497997598539,42224.3,212958.1725,550,binance.us,snx,usd
13,binance.us-snx-usd-spot,2022-04-14 00:00:00+00:00,5.16,5.17,5.61,5.104,5.367578963700258,50595.4,271574.8047,728,binance.us,snx,usd
14,binance.us-snx-usd-spot,2022-04-15 00:00:00+00:00,5.208,5.356,5.966,5.167,5.542723768573507,152286.8,844083.666,1546,binance.us,snx,usd
15,binance.us-snx-usd-spot,2022-04-16 00:00:00+00:00,5.373,5.216,5.564,5.156,5.314916015704879,83133.4,441847.0391,602,binance.us,snx,usd
16,binance.us-snx-usd-spot,2022-04-17 00:00:00+00:00,5.206,5.021,5.321,4.97,5.181184606996298,45301.1,234713.362,344,binance.us,snx,usd
17,binance.us-snx-usd-spot,2022-04-18 00:00:00+00:00,5.0,5.172,5.179,4.733,4.916417548921482,68139.8,335003.7085,477,binance.us,snx,usd
18,binance.us-snx-usd-spot,2022-04-19 00:00:00+00:00,5.164,6.135,6.289,5.077,5.848776895129442,271443.2,1587610.7165,2420,binance.us,snx,usd
19,binance.us-snx-usd-spot,2022-04-20 00:00:00+00:00,6.178,6.601,7.183,5.983,6.455357127256455,309052.3,1995042.9675,3300,binance.us,snx,usd
20,binance.us-snx-usd-spot,2022-04-21 00:00:00+00:00,6.6,5.882,6.93,5.863,6.527545965864345,116312.4,759234.5374,1440,binance.us,snx,usd
21,binance.us-snx-usd-spot,2022-04-22 00:00:00+00:00,5.882,5.476,6.031,5.418,5.652800803412223,39481.6,223181.6202,577,binance.us,snx,usd
22,binance.us-snx-usd-spot,2022-04-23 00:00:00+00:00,5.469,5.839,5.885,5.379,5.745609213219427,111541.9,640876.1683,1189,binance.us,snx,usd
23,binance.us-snx-usd-spot,2022-04-24 00:00:00+00:00,5.808,5.872,6.201,5.63,5.964381316420741,157452.7,939107.9421,1620,binance.us,snx,usd
24,binance.us-snx-usd-spot,2022-04-25 00:00:00+00:00,5.872,6.196,6.262,5.303,5.774960707385702,198912.7,1148713.0267,1656,binance.us,snx,usd
25,binance.us-snx-usd-spot,2022-04-26 00:00:00+00:00,6.185,5.405,6.735,5.381,6.035854917875296,343502.0,2073328.236,3613,binance.us,snx,usd
26,binance.us-snx-usd-spot,2022-04-27 00:00:00+00:00,5.405,5.83,6.024,5.403,5.750501298449199,126728.1,728750.1036,1621,binance.us,snx,usd
27,binance.us-snx-usd-spot,2022-04-28 00:00:00+00:00,5.864,5.533,5.867,5.466,5.62801423811145,67853.1,381878.2129,894,binance.us,snx,usd
28,binance.us-snx-usd-spot,2022-04-29 00:00:00+00:00,5.54,5.016,5.767,4.9,5.333396532756907,41450.8,221073.553,638,binance.us,snx,usd
29,binance.us-snx-usd-spot,2022-04-30 00:00:00+00:00,5.016,4.382,5.137,4.272,4.753080642868579,66831.7,317656.4596,816,binance.us,snx,usd
